,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,income
0,39.0,77516.0,13.0,2174.0,0.0,64000.0,7.0,9.0,6.0,1.0,3.0,4.0,39.0,0.0
1,50.0,83311.0,13.0,0.0,0.0,2197.0,6.0,9.0,6.0,4.0,3.0,4.0,39.0,0.0
2,38.0,215646.0,9.0,0.0,0.0,64000.0,4.0,11.0,6.0,6.0,3.0,4.0,39.0,0.0
3,53.0,234721.0,7.0,0.0,0.0,64000.0,4.0,1.0,6.0,6.0,3.0,2.0,39.0,0.0
4,28.0,338409.0,13.0,0.0,0.0,64000.0,4.0,9.0,6.0,10.0,3.0,2.0,5.0,0.0
5,37.0,284582.0,14.0,0.0,0.0,64000.0,4.0,12.0,6.0,4.0,3.0,4.0,39.0,0.0
6,49.0,160187.0,5.0,0.0,0.0,4096.0,4.0,6.0,3.0,8.0,3.0,2.0,23.0,0.0
7,52.0,209642.0,9.0,0.0,0.0,91125.0,6.0,11.0,6.0,4.0,3.0,4.0,39.0,1.0
8,31.0,45781.0,14.0,14084.0,0.0,125000.0,4.0,12.0,6.0,10.0,3.0,4.0,39.0,1.0
9,42.0,159449.0,13.0,5178.0,0.0,64000.0,4.0,9.0,6.0,4.0,3.0,4.0,39.0,1.0
10,37.0,280464.0,10.0,0.0,0.0,512000.0,4.0,15.0,6.0,4.0,3.0,2.0,39.0,1.0
11,30.0,141297.0,13.0,0.0,0.0,64000.0,7.0,9.0,6.0,10.0,3.0,1.0,19.0,1.0
12,23.0,122272.0,13.0,0.0,0.0,27000.0,4.0,9.0,6.0,1.0,3.0,4.0,39.0,0.0
13,32.0,205019.0,12.0,0.0,0.0,125000.0,4.0,7.0,6.0,12.0,3.0,2.0,39.0,0.0
14,40.0,121772.0,11.0,0.0,0.0,64000.0,4.0,8.0,6.0,1.0,3.0,1.0,0.0,1.0
15,34.0,245487.0,4.0,0.0,0.0,91125.0,4.0,5.0,6.0,14.0,3.0,0.0,26.0,0.0
