,age,fnlwgt,education num,capital gain,capital loss,hours per week,workclass,education,marital status,occupation,relationship,race,native country,origin
age,0.0,0.005085680767665822,0.005071145885138424,0.0049050304848286645,0.004807517244283268,0.0005375218774621269,0.0032807176269899576,0.004762157027726735,0.0024326838573129,0.0017624173752323043,0.004229137075240255,0.0011182971089063079,0.005155793361963886,0.0034425703976583193
fnlwgt,0.005085680767665822,0.0,1.453488252739736e-05,0.00018065028283715848,0.00027816352338255366,0.0045481588902036955,0.0018049631406758643,0.0003235237399390874,0.002652996910352922,0.003323263392433518,0.0008565436924255669,0.0039673836587595145,7.011259429806312e-05,0.001646229001905934
education num,0.005071145885138424,1.453488252739736e-05,0.0,0.0001661154003097611,0.0002636286408551563,0.004533624007676297,0.0017904282581484674,0.00030898885741169004,0.0026384620278255247,0.0033087285099061203,0.0008420088098981697,0.003952848776232117,8.464747682546055e-05,0.0016322365172974408
capital gain,0.0049050304848286645,0.00018065028283715848,0.0001661154003097611,0.0,9.751324054539521e-05,0.004367508607366536,0.001624312857838706,0.00014287345710192894,0.0024723466275157636,0.0031426131095963596,0.0006758934095884085,0.003786733375922356,0.0002507628771352217,0.0014760234323659548
capital loss,0.004807517244283268,0.00027816352338255366,0.0002636286408551563,9.751324054539521e-05,0.0,0.0042699953668211416,0.0015267996172933108,4.53602165565337e-05,0.0023748333869703687,0.003045099869050964,0.0005783801690430134,0.0036892201353769605,0.0003482761176806169,0.0013880322396529546
hours per week,0.0005375218774621269,0.0045481588902036955,0.004533624007676297,0.004367508607366536,0.0042699953668211416,0.0,0.0027431957495278308,0.004224635150264607,0.0018951619798507732,0.0012248954977701774,0.0036916151977781277,0.0005807752314441806,0.004618271484501758,0.002905525057540553
workclass,0.0032807176269899576,0.0018049631406758643,0.0017904282581484674,0.001624312857838706,0.0015267996172933108,0.0027431957495278308,0.0,0.001481439400736777,0.0008480337696770575,0.0015183002517576533,0.0009484194482502974,0.00216242051808365,0.0018750757349739276,0.0005613936347909224
education,0.004762157027726735,0.0003235237399390874,0.00030898885741169004,0.00014287345710192894,4.53602165565337e-05,0.004224635150264607,0.001481439400736777,0.0,0.002329473170413835,0.0029997396524944304,0.0005330199524864797,0.003643859918820427,0.0003936363342371506,0.0013479712525427858
marital status,0.0024326838573129,0.002652996910352922,0.0026384620278255247,0.0024723466275157636,0.0023748333869703687,0.0018951619798507732,0.0008480337696770575,0.002329473170413835,0.0,0.0006702664820805958,0.0017964532179273551,0.0013143867484065924,0.002723109504650985,0.0010593827412905886
occupation,0.0017624173752323043,0.003323263392433518,0.0033087285099061203,0.0031426131095963596,0.003045099869050964,0.0012248954977701774,0.0015183002517576533,0.0029997396524944304,0.0006702664820805958,0.0,0.002466719700007951,0.0006441202663259967,0.0033933759867315807,0.0016898059877341848
relationship,0.004229137075240255,0.0008565436924255669,0.0008420088098981697,0.0006758934095884085,0.0005783801690430134,0.0036916151977781277,0.0009484194482502974,0.0005330199524864797,0.0017964532179273551,0.002466719700007951,0.0,0.0031108399663339475,0.0009266562867236303,0.000909026299822755
race,0.0011182971089063079,0.0039673836587595145,0.003952848776232117,0.003786733375922356,0.0036892201353769605,0.0005807752314441806,0.00216242051808365,0.003643859918820427,0.0013143867484065924,0.0006441202663259967,0.0031108399663339475,0.0,0.004037496253057578,0.002326719914424278
native country,0.005155793361963886,7.011259429806312e-05,8.464747682546055e-05,0.0002507628771352217,0.0003482761176806169,0.004618271484501758,0.0018750757349739276,0.0003936363342371506,0.002723109504650985,0.0033933759867315807,0.0009266562867236303,0.004037496253057578,0.0,0.0017137053201543581
origin,0.0034425703976583193,0.001646229001905934,0.0016322365172974408,0.0014760234323659548,0.0013880322396529546,0.002905525057540553,0.0005613936347909224,0.0013479712525427858,0.0010593827412905886,0.0016898059877341848,0.000909026299822755,0.002326719914424278,0.0017137053201543581,0.0
